date,wet,dry
11/24/16,1.83,4
11/25/16,1.83,5
11/26/16,1.38,4
11/27/16,1.38,2
11/28/16,1.38,5
11/29/16,1.38,4
11/30/16,1.38,4
12/1/16,1.38,4
12/2/16,1.38,5
12/3/16,1.83,4
12/4/16,1.38,4
12/5/16,1.38,4
12/6/16,1.38,5
12/7/16,1.38,5
12/8/16,0.7,5
12/9/16,1.38,6
12/10/16,1.38,7
12/11/16,1.38,4
12/12/16,1.38,7
12/13/16,1.38,5
12/14/16,1.38,6
12/15/16,1.38,6
12/16/16,0,6
12/17/16,0,8
12/18/16,1.38,5
12/19/16,1.38,5
12/20/16,1.38,7
12/21/16,1.38,7
12/22/16,1.38,5
12/23/16,1.38,7
12/24/16,1.38,5
12/25/16,1.38,5
12/26/16,1.83,8
12/27/16,1.83,8
12/28/16,1.83,7
12/29/16,1.83,7
12/30/16,1.83,8
12/31/16,1.83,5
1/1/17,1.83,8
1/2/17,1.83,6
1/3/17,1.83,8
1/4/17,1.83,6
1/5/17,1.83,6
1/6/17,1.83,6
1/7/17,1.83,4
1/8/17,1.83,4
1/9/17,1.83,4
1/10/17,1.83,8
1/11/17,1.83,6
1/12/17,1.83,6
1/13/17,1.83,4
1/14/17,1.83,6
1/15/17,1.83,6
1/16/17,1.83,6
1/17/17,1.83,6
1/18/17,1.83,6
1/19/17,1.83,6
1/20/17,1.83,6
1/21/17,1.83,6
1/22/17,1.83,6
1/23/17,1.83,6
1/24/17,1.83,6
1/25/17,1.83,6
1/26/17,1.83,6
1/27/17,1.83,6
1/28/17,1.38,6
1/29/17,1.38,8
1/30/17,1.38,4
1/31/17,1.38,6
2/1/17,1.38,8
2/2/17,1.38,6
2/3/17,1.83,6
2/4/17,1.83,6
2/5/17,1.83,6
2/6/17,1.83,6
2/7/17,1.83,6
2/8/17,1.83,4
2/9/17,1.83,6
2/10/17,1.83,6
2/11/17,1.83,6
2/12/17,1.83,2
2/13/17,1.1,6
2/14/17,1.1,6
2/15/17,1.1,6
2/16/17,1.1,6
2/17/17,1.38,6
2/18/17,1.38,4
2/19/17,1.38,6
2/20/17,1.38,6
2/21/17,1.38,4
2/22/17,1.38,6
2/23/17,1.38,8
2/24/17,1.38,8
2/25/17,1.38,6
2/26/17,1.38,6
2/27/17,1.38,6
